"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
1.923306419E0,-8.688256741E-1,5.808448792E-2,-1.717011452E0
1.928324179E0,-6.760889292E-1,8.227348328E-2,-1.938550949E0
1.933341939E0,-5.177624822E-1,8.161306381E-2,-2.110881805E0
1.938359700E0,-4.364184439E-1,1.380014420E-1,-2.268166542E0
1.943377460E0,-3.839499056E-1,1.801524162E-1,-2.377478123E0
1.948395221E0,-4.080379307E-1,2.947297096E-1,-2.458655357E0
1.953412981E0,-4.367766976E-1,4.246411324E-1,-2.540813446E0
1.958430742E0,-3.454844058E-1,4.077601433E-1,-2.533520222E0
1.963448502E0,-3.106663227E-1,3.400053978E-1,-2.437062263E0
1.968466262E0,-2.316334993E-1,3.119635582E-1,-2.136789799E0
1.973484023E0,-2.762731910E-2,2.707095146E-1,-1.804878712E0
1.978501783E0,3.772944212E-2,3.354854584E-1,-1.412533760E0
1.983519544E0,5.019435287E-2,4.435143471E-1,-1.026350975E0
1.988537304E0,7.188704610E-2,5.225143433E-1,-7.126784325E-1
1.993555064E0,5.960947275E-2,6.724805832E-1,-3.754372597E-1
1.998572825E0,1.788476110E-2,8.069601059E-1,-5.259370804E-2
